Test Case 0: predicted = 7; expected = 7; result = true
Test Case 1: predicted = 2; expected = 2; result = true
Test Case 2: predicted = 1; expected = 1; result = true
Test Case 3: predicted = 0; expected = 0; result = true
Test Case 4: predicted = 4; expected = 4; result = true
Test Case 5: predicted = 1; expected = 1; result = true
Test Case 6: predicted = 4; expected = 4; result = true
Test Case 7: predicted = 9; expected = 9; result = true
Test Case 8: predicted = 5; expected = 5; result = true
Test Case 9: predicted = 9; expected = 9; result = true
Test Case 10: predicted = 0; expected = 0; result = true
Test Case 11: predicted = 6; expected = 6; result = true
Test Case 12: predicted = 9; expected = 9; result = true
Test Case 13: predicted = 0; expected = 0; result = true
Test Case 14: predicted = 1; expected = 1; result = true
Test Case 15: predicted = 5; expected = 5; result = true
Test Case 16: predicted = 9; expected = 9; result = true
Test Case 17: predicted = 7; expected = 7; result = true
Test Case 18: predicted = 5; expected = 3; result = false
Test Case 19: predicted = 4; expected = 4; result = true
Test Case 20: predicted = 9; expected = 9; result = true
Test Case 21: predicted = 6; expected = 6; result = true
Test Case 22: predicted = 6; expected = 6; result = true
Test Case 23: predicted = 5; expected = 5; result = true
Test Case 24: predicted = 4; expected = 4; result = true
Test Case 25: predicted = 0; expected = 0; result = true
Test Case 26: predicted = 7; expected = 7; result = true
Test Case 27: predicted = 4; expected = 4; result = true
Test Case 28: predicted = 0; expected = 0; result = true
Test Case 29: predicted = 1; expected = 1; result = true
Test Case 30: predicted = 3; expected = 3; result = true
Test Case 31: predicted = 1; expected = 1; result = true
Test Case 32: predicted = 3; expected = 3; result = true
Test Case 33: predicted = 4; expected = 4; result = true
Test Case 34: predicted = 7; expected = 7; result = true
Test Case 35: predicted = 2; expected = 2; result = true
Test Case 36: predicted = 7; expected = 7; result = true
Test Case 37: predicted = 1; expected = 1; result = true
Test Case 38: predicted = 2; expected = 2; result = true
Test Case 39: predicted = 1; expected = 1; result = true
Test Case 40: predicted = 1; expected = 1; result = true
Test Case 41: predicted = 7; expected = 7; result = true
Test Case 42: predicted = 4; expected = 4; result = true
Test Case 43: predicted = 2; expected = 2; result = true
Test Case 44: predicted = 3; expected = 3; result = true
Test Case 45: predicted = 5; expected = 5; result = true
Test Case 46: predicted = 1; expected = 1; result = true
Test Case 47: predicted = 2; expected = 2; result = true
Test Case 48: predicted = 4; expected = 4; result = true
Test Case 49: predicted = 4; expected = 4; result = true
Test Case 50: predicted = 6; expected = 6; result = true
Test Case 51: predicted = 3; expected = 3; result = true
Test Case 52: predicted = 5; expected = 5; result = true
Test Case 53: predicted = 5; expected = 5; result = true
Test Case 54: predicted = 6; expected = 6; result = true
Test Case 55: predicted = 0; expected = 0; result = true
Test Case 56: predicted = 4; expected = 4; result = true
Test Case 57: predicted = 1; expected = 1; result = true
Test Case 58: predicted = 9; expected = 9; result = true
Test Case 59: predicted = 5; expected = 5; result = true
Test Case 60: predicted = 7; expected = 7; result = true
Test Case 61: predicted = 8; expected = 8; result = true
Test Case 62: predicted = 5; expected = 9; result = false
Test Case 63: predicted = 2; expected = 3; result = false
Test Case 64: predicted = 7; expected = 7; result = true
Test Case 65: predicted = 4; expected = 4; result = true
Test Case 66: predicted = 6; expected = 6; result = true
Test Case 67: predicted = 4; expected = 4; result = true
Test Case 68: predicted = 3; expected = 3; result = true
Test Case 69: predicted = 0; expected = 0; result = true
Test Case 70: predicted = 7; expected = 7; result = true
Test Case 71: predicted = 0; expected = 0; result = true
Test Case 72: predicted = 2; expected = 2; result = true
Test Case 73: predicted = 9; expected = 9; result = true
Test Case 74: predicted = 1; expected = 1; result = true
Test Case 75: predicted = 7; expected = 7; result = true
Test Case 76: predicted = 3; expected = 3; result = true
Test Case 77: predicted = 2; expected = 2; result = true
Test Case 78: predicted = 9; expected = 9; result = true
Test Case 79: predicted = 7; expected = 7; result = true
Test Case 80: predicted = 7; expected = 7; result = true
Test Case 81: predicted = 6; expected = 6; result = true
Test Case 82: predicted = 2; expected = 2; result = true
Test Case 83: predicted = 7; expected = 7; result = true
Test Case 84: predicted = 8; expected = 8; result = true
Test Case 85: predicted = 4; expected = 4; result = true
Test Case 86: predicted = 7; expected = 7; result = true
Test Case 87: predicted = 3; expected = 3; result = true
Test Case 88: predicted = 6; expected = 6; result = true
Test Case 89: predicted = 1; expected = 1; result = true
Test Case 90: predicted = 3; expected = 3; result = true
Test Case 91: predicted = 6; expected = 6; result = true
Test Case 92: predicted = 4; expected = 9; result = false
Test Case 93: predicted = 3; expected = 3; result = true
Test Case 94: predicted = 1; expected = 1; result = true
Test Case 95: predicted = 4; expected = 4; result = true
Test Case 96: predicted = 1; expected = 1; result = true
Test Case 97: predicted = 7; expected = 7; result = true
Test Case 98: predicted = 6; expected = 6; result = true
Test Case 99: predicted = 9; expected = 9; result = true
Test Case 100: predicted = 6; expected = 6; result = true
Test Case 101: predicted = 0; expected = 0; result = true
Test Case 102: predicted = 5; expected = 5; result = true
Test Case 103: predicted = 4; expected = 4; result = true
Test Case 104: predicted = 9; expected = 9; result = true
Test Case 105: predicted = 9; expected = 9; result = true
Test Case 106: predicted = 2; expected = 2; result = true
Test Case 107: predicted = 1; expected = 1; result = true
Test Case 108: predicted = 9; expected = 9; result = true
Test Case 109: predicted = 4; expected = 4; result = true
Test Case 110: predicted = 8; expected = 8; result = true
Test Case 111: predicted = 7; expected = 7; result = true
Test Case 112: predicted = 3; expected = 3; result = true
Test Case 113: predicted = 9; expected = 9; result = true
Test Case 114: predicted = 7; expected = 7; result = true
Test Case 115: predicted = 4; expected = 4; result = true
Test Case 116: predicted = 4; expected = 4; result = true
Test Case 117: predicted = 4; expected = 4; result = true
Test Case 118: predicted = 9; expected = 9; result = true
Test Case 119: predicted = 2; expected = 2; result = true
Test Case 120: predicted = 5; expected = 5; result = true
Test Case 121: predicted = 4; expected = 4; result = true
Test Case 122: predicted = 7; expected = 7; result = true
